series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,repair center,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K,next_failure_time,next_failure_time_censored
sn_000375,product B,V1E2,po_001105,po_001104,2030,1,4767,center_1,0,0,0,0,0,0,0,0,0,0,,
sn_000376,product B,V1E1,po_001106,MFG,1030,0,1030,center_0,0,0,0,0,1,0,0,0,0,0,2275,1
sn_000376,product B,V1E2,po_001107,po_001106,2275,1,3305,center_1,0,0,0,0,0,0,0,0,0,0,,
sn_000377,product B,V1E1,po_001108,MFG,1019,0,1019,center_0,1,0,0,0,0,0,0,0,0,0,142,0
sn_000377,product B,V1E1,po_001109,po_001108,142,0,1161,center_2,1,1,1,0,0,0,0,0,0,1,526,0
sn_000377,product B,V1E1,po_001110,po_001109,526,0,1687,center_2,1,1,0,0,0,0,0,0,0,0,877,0
sn_000377,product B,V1E1,po_001111,po_001110,877,0,2564,center_2,0,0,0,0,1,0,0,0,0,1,687,1
sn_000377,product B,V1E3,po_001112,po_001111,687,1,3251,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000378,product B,V1E1,po_001113,MFG,3303,1,3303,center_0,0,0,0,0,0,0,0,0,0,0,,
sn_000379,product B,V1E1,po_001114,MFG,104,1,104,center_0,0,0,0,0,0,0,0,0,0,0,628,0
sn_000379,product B,V1E1,po_001115,po_001114,628,0,732,center_2,0,0,0,0,1,1,0,0,0,0,376,0
sn_000379,product B,V1E2,po_001116,po_001115,376,0,1108,center_2,0,0,0,0,1,0,0,0,0,0,1240,1
sn_000379,product B,V1E2,po_001117,po_001116,1240,1,2348,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000380,product B,V1E1,po_001118,MFG,1201,0,1201,center_0,0,0,0,1,0,0,0,0,0,0,1294,0
sn_000380,product B,V1E1,po_001119,po_001118,1294,0,2495,center_2,0,0,0,0,1,1,0,0,0,1,794,1
sn_000380,product B,V1E3,po_001120,po_001119,794,1,3289,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000381,product B,V1E1,po_001121,MFG,947,0,947,center_0,0,0,0,0,1,0,0,0,1,0,2351,1
sn_000381,product B,V1E2,po_001122,po_001121,2351,1,3298,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000382,product B,V1E1,po_001123,MFG,3261,0,3261,center_0,0,0,0,0,1,0,0,0,0,0,36,1
sn_000382,product B,V1E3,po_001124,po_001123,36,1,3297,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000383,product B,V1E1,po_001125,MFG,1423,0,1423,center_0,0,0,0,0,1,0,0,0,0,0,1396,0
sn_000383,product B,V1E2,po_001126,po_001125,1396,0,2819,center_2,0,0,0,0,1,0,0,0,0,0,476,1
sn_000383,product B,V1E3,po_001127,po_001126,476,1,3295,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000384,product B,V1E1,po_001128,MFG,735,0,735,center_0,0,0,0,0,1,0,0,0,0,0,1134,0
sn_000384,product B,V1E2,po_001129,po_001128,1134,0,1869,center_2,0,0,0,0,1,1,0,0,0,0,587,0
sn_000384,product B,V1E2,po_001130,po_001129,587,0,2456,center_2,1,0,1,0,1,0,0,0,0,0,808,1
sn_000384,product B,V1E3,po_001131,po_001130,808,1,3264,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000385,product B,V1E1,po_001132,MFG,1400,0,1400,center_0,0,0,0,0,1,0,0,0,0,1,1898,1
sn_000385,product B,V1E2,po_001133,po_001132,1898,1,3298,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000386,product B,V1E1,po_001134,MFG,1122,0,1122,center_0,0,0,0,0,1,0,0,0,0,0,488,0
sn_000386,product B,V1E2,po_001135,po_001134,488,0,1610,center_2,1,0,1,0,0,0,0,0,0,0,1675,1
sn_000386,product B,V1E2,po_001136,po_001135,1675,1,3285,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000387,product B,V1E1,po_001137,MFG,3297,1,3297,center_0,0,0,0,0,0,0,0,0,0,0,,
sn_000388,product B,V1E1,po_001138,MFG,746,0,746,center_0,0,0,0,0,1,0,0,0,0,0,1090,0
sn_000388,product B,V1E2,po_001139,po_001138,1090,0,1836,center_2,0,0,0,0,1,0,0,0,0,0,1458,1
sn_000388,product B,V1E2,po_001140,po_001139,1458,1,3294,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000389,product B,V1E1,po_001141,MFG,3296,1,3296,center_0,0,0,0,0,0,0,0,0,0,0,,
sn_000390,product B,V1E1,po_001142,MFG,1285,0,1285,center_0,0,0,0,0,1,1,0,0,0,0,2010,1
sn_000390,product B,V1E2,po_001143,po_001142,2010,1,3295,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000391,product B,V1E1,po_001144,MFG,2311,0,2311,center_0,0,0,0,0,1,0,0,0,0,0,982,1
sn_000391,product B,V1E2,po_001145,po_001144,982,1,3293,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000392,product B,V1E1,po_001146,MFG,1710,0,1710,center_0,0,1,0,0,1,0,0,0,0,0,1582,1
sn_000392,product B,V1E2,po_001147,po_001146,1582,1,3292,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000393,product B,V1E1,po_001148,MFG,323,1,323,center_0,0,0,0,0,0,0,0,0,0,0,718,0
sn_000393,product B,V1E1,po_001149,po_001148,718,0,1041,center_2,0,0,0,0,1,0,0,0,0,0,1303,0
sn_000393,product B,V1E2,po_001150,po_001149,1303,0,2344,center_2,0,0,0,0,1,0,0,0,0,0,895,1
sn_000393,product B,V1E2,po_001151,po_001150,895,1,3239,center_2,0,0,0,0,0,0,0,0,0,0,,
